Actual_SCORE,Predicted_SCORE
7.33,7.3410997
7.33,7.318316
8.1,8.099322
7.86,7.85527
4.81,4.8575335
6.39,6.3837004
6.48,6.492291
6.381,6.400543
8.854,8.887765
7.85,7.8563275
6.682884175185916,6.682864
8.32,8.308092
6.72,7.083403
8.65,8.636873
7.33,7.3003936
7.87,7.8332167
4.270023862999369,4.3073754
6.72,6.7167587
8.37,8.365546
6.468486888151017,6.5427337
8.37,8.383994
8.65,8.645934
6.768193764142594,6.7064056
5.44,5.4384613
8.71,8.709617
7.85,7.8234043
7.351,7.3531938
7.85,7.8530846
8.2,8.002365
4.94,5.014478
5.63,5.62231
8.71,8.719986
6.13,6.1497345
5.396,5.397614
7.96,7.93972
5.94,5.936195
4.270023862999369,4.2633047
6.468486888151017,6.513289
8.32,8.351146
8.14,8.229431
6.77,6.752604
8.452,8.446639
4.24,4.2420716
5.4,5.38255
8.2,8.196871
7.11,7.173434
9.1,9.106446
6.37,6.320059
5.998,5.994489
6.43,6.4216814
8.784,8.779918
6.768193764142594,6.7560015
7.394,7.390007
5.609828753175615,5.5953145
6.48,6.5306635
6.6,6.6018233
5.44,5.4428463
6.43,6.3956127
9.095,9.100048
7.94,7.940298
7.122817609038515,7.1279917
7.643,7.6539426
5.396,5.3970256
7.86,7.8272233
4.6,4.6005707
4.9,4.8899217
7.4,7.401692
6.010556011736396,5.9996357
5.94,5.929993
4.94,4.9402995
8.1,8.104972
6.6,6.59884
9.095,9.110522
5.973,5.9888263
5.973,5.969972
6.128007871968327,6.1308146
6.6,6.630732
8.14,7.976018
8.37,8.0936775
8.5,8.513588
6.41,6.55167
9.14,9.151172
6.77,6.742762
5.72,5.710444
5.973,5.9689074
5.4,5.381228
7.95,7.957229
9.19,8.997688
6.468486888151017,6.4710054
6.39,6.379352
6.74,7.104428
7.95,7.94776
8.854,8.871585
4.81,4.8314624
6.72,6.69708
7.94,7.940547
5.609828753175615,5.601347
6.915,6.9403343
8.32,8.295225
5.44,5.4773507
9.095,9.102576
8.71,8.701919
7.33,7.147051
4.75,5.0012054
7.25,7.248234
8.1,8.100421
6.915,6.9210978
5.44,5.8889737
8.14,8.140361
8.14,8.145425
6.63,6.604842
7.494,7.3664947
6.128007871968327,6.10971
7.351,7.4068284
7.87,7.875064
6.04,6.0648313
8.2,8.143794
7.75,7.7360826
6.2,6.2250686
5.94,5.9463005
6.04,6.0522203
4.81,4.8161745
6.915,6.9249883
8.2,8.194993
6.63,6.6321774
5.973,5.9740353
4.5,4.493317
8.1,8.1041155
6.77,6.781359
5.72,5.7121277
5.901207623807631,5.902548
7.86,7.7780867
7.25,7.240562
6.63,6.6203475
5.998,5.995976
8.65,8.66298
6.41,6.444031
8.32,8.333647
7.86,7.862714
6.682884175185916,6.6776676
8.452,8.451129
5.31,5.3837585
8.784,8.80004
6.6,6.567392
9.14,9.136318
6.39,6.4056897
6.04,6.058837
7.11,7.0405703
7.662,7.64787
6.1,6.0001802
9.095,9.099363
6.58,6.5694394
5.94,5.9374375
8.37,8.364098
7.94,7.9065175
8.452,8.446822
7.643,7.6517916
7.351,7.359803
6.422448346783931,6.402863
6.3,6.2981544
8.76,8.746816
5.31,5.3082857
8.76,8.745205
7.684,7.6735435
6.04,6.196533
6.97,7.053338
5.998,5.9949145
8.854,8.846576
6.39,6.3995833
6.381,6.3765903
9.095,9.0831
7.643,7.6312113
6.1,6.0981207
8.31,8.301171
6.72,6.7018332
6.41,6.43064
7.684,7.656839
5.8,5.8629813
8.784,8.784256
8.14,8.1187315
6.41,6.419253
4.98,4.979936
8.8,8.7702
6.06,6.239292
6.06,6.0574555
5.72,5.7210917
5.998,5.9917855
8.854,8.880508
7.394,7.65779
6.04,6.0540967
5.6,5.5994487
6.682884175185916,6.682644
6.128007871968327,6.1210256
6.04,6.0488715
7.55,7.5330915
5.6,5.839784
8.54,8.571721
6.3,6.265827
8.452,8.451312
8.784,8.794103
4.8,4.843077
5.09,5.10851
6.422448346783931,6.4869843
7.57,7.528829
6.1,6.1384373
5.94,5.9377856
7.87,7.8692145
7.96,7.810343
8.54,8.577332
7.684,7.635285
8.54,8.534369
6.128007871968327,6.121462
7.4,7.389108
6.1,6.1898756
6.39,6.373031
5.998,5.9969206
5.44,5.4372897
7.33,7.2877007
8.4,8.277535
6.39,6.349296
6.55,6.568263
6.72,6.684909
7.75,7.740564
6.97,7.0808725
6.907436489305184,7.1043186
6.63,6.610575
4.75,4.7392306
6.010556011736396,6.013486
6.97,6.999728
6.2,6.1984673
6.04,6.06342
7.87,7.869987
9.095,9.10068
7.494,7.4911513
6.468486888151017,6.5151944
6.89,6.885732
8.784,8.783653
5.973,5.9732556
7.467,7.4683967
7.4,7.3726816
5.609828753175615,5.599464
8.65,8.66035
6.48,6.518306
8.32,8.303973
6.04,6.047646
7.94,7.9377065
8.452,8.421965
7.11,7.117325
8.8,8.787304
8.76,8.786015
7.772,7.753423
7.394,7.3902564
7.643,7.618898
6.74,6.736121
6.1,6.0981207
8.8,8.794926
7.684,7.7117996
4.24,4.2236614
6.6,6.6103864
9.1,9.069822
7.85,7.8289323
8.79,8.596752
9.4,9.044811
6.43,6.4411387
7.85,7.852594
7.351,7.350938
6.422448346783931,6.4457984
7.2,7.20063
8.2,8.156447
6.13,6.5841866
6.010556011736396,6.010713
6.85,6.9239945
5.973,5.968918
6.48,6.4625607
5.31,5.2988076
9.449,9.446682
8.784,8.799464
7.394,7.3878374
7.85,7.8713613
7.772,7.754898
4.81,4.8162346
6.2,6.124611
4.98,4.995683
8.71,8.727344
4.6,4.590796
6.39,6.300701
4.8,5.0549345
5.94,5.9396973
7.2,7.200387
8.54,8.51057
4.98,4.9718103
4.24,4.230677
6.010556011736396,6.02141
4.8,4.80066
9.1,9.102216
6.58,6.5791206
7.94,7.939236
7.75,7.8014727
6.381,6.368628
7.467,7.449176
