Actual_SCORE,Predicted_SCORE
6.768193764142594,8.032736
7.96,7.405127
9.14,9.088838
7.394,7.4428754
5.973,6.0455074
7.75,7.6914306
6.915,6.9294763
8.14,7.0899363
6.48,7.0233407
7.33,6.998084
9.14,9.192679
5.6,6.016492
6.04,6.2838836
5.998,7.7557673
4.81,7.2136264
6.132,6.2558794
8.784,8.384492
9.1,9.073534
6.58,6.2048826
8.54,7.915678
8.37,7.6948786
5.72,5.9308996
8.76,7.030923
7.33,6.9282374
9.095,9.020907
6.39,6.3873224
9.449,8.962018
7.351,7.450982
7.11,7.1062293
7.85,7.391894
6.010556011736396,7.0302267
7.55,6.9657845
7.94,7.852527
5.63,5.826289
4.270023862999369,5.8954687
5.94,6.094953
5.31,6.083278
9.19,8.9817705
6.915,6.9742227
8.71,8.088259
6.3,4.564713
7.04,6.9436584
7.57,7.5509577
8.8,7.416519
